"Date of draw","Number of invitations","Stream","stream detail","Selection Parameters","Minimum EOI score of invited candidates"
"November 29, 2024","687","Alberta Opportunity Stream","-","Have a valid eligible work permit type, except Post-Graduation Work Permit; Work permit expiry date of February 28, 2025 or later; Completed a minimum of high school education equivalent to Canadian standards; CLB or NCLC 4 or higher; Work experience of 12 months or more; Has work experience in Alberta; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is not: an ineligible occupation under the Alberta Opportunity Stream, or an occupation in the NOC broad occupational categories of '1 - Business, finance and administration occupations' and '6 - Sales and service occupations'","61"
"December 4, 2024","52","Dedicated Health Care Pathway","Express Entry","Minimum Express Entry CRS score of 300 or higher; Express Entry Profile expiry date is May 4, 2025 or later; Primary occupation in Express Entry profile is in a Dedicated Healthcare Pathway-eligible occupation; Job offer for full-time employment in Alberta; Job offer in a Dedicated Healthcare Pathway-eligible occupation; CLB or NCLC 5 or higher; Meet the requirements to practice in a regulated occupation in Alberta","49"
"December 4, 2024","27","Dedicated Health Care Pathway","non-Express Entry","CLB or NCLC 5 or higher; Not in the federal Express Entry pool; Job offer for full-time employment in Alberta; Job offer for full-time employment in Alberta in a Dedicated Healthcare Pathway-eligible occupation; Meet the requirements to practice in a regulated occupation in Alberta","47"
"December 10, 2024","262","Alberta Express Entry Stream","Priority Sectors","CLB or NCLC 5 or higher; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: August 31, 2025, or later; Job offer for full-time employment in Alberta; 12 months of work experience; Primary Occupation in Express Entry profile and 'Job Offer with an Alberta employer' in occupation are not: an ineligible occupation under the Alberta Opportunity Stream, and an occupation in the NOC broad occupational categories of '1 - Business, finance and administration occupations' and '6 - Sales and service occupations'","65"
"December 11, 2024","87","Alberta Express Entry Stream","Accelerated Tech Pathway","Work permit expiry date of February 28, 2025 or later; CLB or NCLC 5 or higher; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: August 31, 2025, or later; 12 months of work experience; Job offer for full-time employment in Alberta; Primary Occupation in Express Entry profile and 'Job Offer with an Alberta employer' in occupation are in an Accelerated Tech Pathway eligible occupation; Job Offer is for an Alberta employer whose primary business activities are in an eligible AAIP list of Accelerated Tech Pathway eligible NAICS codes","59"
"December 11, 2024","11","Dedicated Health Care Pathway","Express Entry","Minimum Express Entry CRS score of 300 or more; Express Entry Profile expiry date is May 11, 2025 or later; Primary occupation in Express Entry profile is in a Dedicated Healthcare Pathway-eligible occupation; Job offer for full-time employment in Alberta; Job offer in a Dedicated Healthcare Pathway-eligible occupation; CLB or NCLC 5 or higher; Meet the requirements to practice in a regulated occupation in Alberta","43"
"December 11, 2024","8","Dedicated Health Care Pathway","non-Express Entry","Not in the federal Express Entry pool; Job offer for full-time employment in Alberta; Job offer for full-time employment in Alberta in a Dedicated Healthcare Pathway-eligible occupation; Meet the requirements to practice in a regulated occupation in Alberta","52"
"December 11, 2024","39","Alberta Express Entry Stream","Priority Sectors","Valid work permit; CLB or NCLC is 5 or higher; Job offer for full-time employment in Alberta; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: April 14, 2025, or later; Primary Occupation in the Express Entry profile and 'Job Offer with an Alberta employer' in the construction sector","50"
"December 12, 2024","11","Alberta Express Entry Stream","Priority Sectors","Have a valid work permit; CLB or NCLC 5 or higher; Valid Express Entry profile; CRS Score of 300 or higher; Express Entry Profile Expiry Date: August 31, 2025, or later; Job offer for full-time employment in Alberta; 12 months of work experience; Meet the requirements to practice if working in a regulated occupation in Alberta; Primary Occupation in the Express Entry profile and 'Job Offer with an Alberta employer' in the health care sector (Dedicated Health Care Pathway occupations excluded)","50"
"December 12, 2024","260","Tourism and Hospitality Stream","-","CLB or NCLC 4 or higher; Valid work permit based on a Labour Market Impact Assessment; Work permit expiry date of March 31, 2025 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is a member of an eligible Tourism and Hospitality Stream sector association; Job offer for an eligible Tourism and Hospitality Stream occupation; Work experience of 6 months or more in Alberta","65"
"December 13, 2024","147","Alberta Opportunity Stream","-","Work permit expiry date of November 15, 2024 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer in the construction sector; Pool registrants with Express Entry profiles were not included in this draw","50"
"December 13, 2024","4","Alberta Express Entry Stream","Law Enforcement Pathway","CLB or NCLC is 6 or higher; Express Entry Profile Expiry Date: May 31, 2025, or later; Minimum Express Entry CRS score of 300 or more; Job offer for full-time employment in Alberta; Job offer from an employer who is a member of the Alberta Association of Chiefs of Police (AACP) in an eligible Law Enforcement occupation","48"
"December 13, 2024","11","Tourism and Hospitality Stream","-","CLB or NCLC 4 or higher; Valid work permit type selected as 'Other' with the free text field including information citing 'Jasper', 'wildfire' or similar text referencing the 'Temporary public policy for foreign nationals in Canada affected by wildfires in 2024'; Work permit expiry date of March 31, 2025 or later; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is a member of an eligible Tourism and Hospitality Stream sector association; Job offer for an eligible Tourism and Hospitality Stream occupation; Work experience of 6 months or more in Alberta","60"
"December 16, 2024","110","Alberta Express Entry Stream","-","Job offer for full-time employment in Alberta; Job offer with an Alberta employer in the construction sector; Valid Express Entry profile","50"
"December 17, 2024","14","Dedicated Health Care Pathway","Express Entry","Minimum Express Entry CRS score of 300 or more; Express Entry Profile expiry date is May 31, 2025 or later; Primary occupation in Express Entry profile is in a Dedicated Healthcare Pathway-eligible occupation; Job offer for full-time employment in Alberta; Job offer in a Dedicated Healthcare Pathway-eligible occupation; CLB or NCLC 5 or higher; Meet the requirements to practice in a regulated occupation in Alberta","47"
"December 23, 2024","588","Alberta Opportunity Stream","-","Have a valid eligible work permit type, except Post-Graduation Work Permit; Work permit expiry date of December 31, 2025 or later; Completed a minimum of high school education equivalent to Canadian standards; CLB or NCLC 4 or higher; Work experience of 12 months or more; Has work experience in Alberta; Job offer for full-time employment in Alberta; Job offer with an Alberta employer that is not: an ineligible occupation under the Alberta Opportunity Stream, or an occupation in the NOC broad occupational categories of '1 - Business, finance and administration occupations' and '6 - Sales and service occupations'","55"
